ID,X,Fe (wt%),Mn (wt%),Si (wt%),Al (wt%),Mg (wt%),Ti (wt%),Cu (wt%),Cr (wt%),V (wt%),Zr (wt%),Zn (wt%),2% proof stress (Mpa),Tensile strength (Mpa),Elongation (%)
A 5005 P,1,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,95,125,2
A 5005 P,1,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,120,145,2
A 5005 P,1,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,145,165,2
A 5005 P,1,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,165,185,2
A 5005 P,2,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,85,120,4
A 5005 P,2,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,165,180,2
A 5005 P,3,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,105,140,3
A 5005 P,3,0.35,0.1,0.15,98.33,0.8,0,0.1,0.05,0,0,0.125,165,180,2
A 5042 P,1,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0,0,0.125,115,240,18
A 5042 P,1,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0,0,0.125,300,330,3
A 5042 P,1,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0,0,0.125,320,350,4
A 5042 P,2,0.18,0.35,0.1,95.58,3.5,0.05,0.08,0.05,0,0,0.125,230,280,6
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,55,140,10
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,130,155,2
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,150,175,3
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,170,195,1
A 5050 P,1,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,190,220,1
A 5050 P,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,110,155,5
A 5050 P,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,135,175,3
A 5050 P,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,160,195,6
A 5050 P,2,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,180,220,2
A 5050 P,3,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,110,155,4
A 5050 P,3,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,135,175,3
A 5050 P,3,0.35,0.05,0.2,97.68,1.45,0,0.1,0.05,0,0,0.125,180,220,1
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,65,175,12
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,155,215,3
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,180,235,3
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,205,255,3
A 5052 P,1,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,220,270,3
A 5052 P,2,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,155,215,5
A 5052 P,2,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,180,235,4
A 5052 P,2,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,205,255,4
A 5052 P,3,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,155,215,3
A 5052 P,3,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,180,235,4
A 5052 P,3,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,205,255,4
A 5052 P,3,0.2,0.05,0.13,96.78,2.5,0,0.05,0.25,0,0,0.05,220,270,3
A 5056 BD,1,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,255,295,6
A 5056 BD,1,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,360,370,2
A 5056 BD,3,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,205,280,11
A 5056 BD,3,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,265,310,8
A 5056 BD,3,0.2,0.13,0.15,94.25,5.05,0,0.05,0.13,0,0,0.05,320,360,4
A 5082 P,4,0.18,0.08,0.1,94.83,4.5,0.05,0.08,0.08,0,0,0.125,300,330,1
A 5086 P,1,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,110,245,14
A 5086 P,1,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,285,345,3
A 5086 P,2,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,195,275,8
A 5086 P,2,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,235,305,5
A 5086 P,2,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,265,325,4
A 5086 P,3,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,195,275,8
A 5086 P,3,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,235,305,6
A 5086 P,3,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,265,325,4
A 5086 P,3,0.25,0.45,0.2,94.7,4,0.08,0.05,0.15,0,0,0.125,285,345,3
A 5154 P,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,75,205,11
A 5154 P,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,175,255,5
A 5154 P,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,205,275,4
A 5154 P,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,225,295,3
A 5154 P,1,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,240,315,3
A 5154 P,2,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,175,255,5
A 5154 P,2,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,205,275,4
A 5154 P,2,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,225,295,3
A 5154 P,3,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,175,255,5
A 5154 P,3,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,205,275,4
A 5154 P,3,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,225,295,3
A 5154 P,3,0.2,0.05,0.13,95.63,3.5,0.1,0.05,0.25,0,0,0.1,240,315,3
A 5182 P,1,0.18,0.35,0.1,94.58,4.5,0.05,0.08,0.05,0,0,0.125,320,380,1
A 5251 T,1,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,60,160,14
A 5251 T,1,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,110,180,4
A 5251 T,1,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,160,200,3
A 5251 T,1,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,180,220,2
A 5251 T,1,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,200,235,2
A 5251 T,2,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,130,200,4
A 5251 T,2,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,180,230,3
A 5251 T,2,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,210,250,3
A 5251 T,3,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,130,200,4
A 5251 T,3,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,180,230,3
A 5251 T,3,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,210,250,3
A 5251 T,3,0.25,0.3,0.2,96.9,2.05,0.08,0.08,0.08,0,0,0.075,225,260,3
A 5254 P,1,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,175,255,5
A 5254 P,1,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,205,275,4
A 5254 P,1,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,225,295,3
A 5254 P,1,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,240,315,3
A 5254 P,2,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,175,255,5
A 5254 P,2,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,205,275,4
A 5254 P,2,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,225,295,3
A 5254 P,3,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,175,255,5
A 5254 P,3,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,205,275,4
A 5254 P,3,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,225,295,3
A 5254 P,3,0.23,0.01,0.23,95.65,3.5,0.03,0.03,0.25,0,0,0.1,240,315,3
A 5454 P,1,0.2,0.75,0.13,95.83,2.7,0.1,0.05,0.13,0,0,0.125,100,215,9
A 5454 P,3,0.2,0.75,0.13,95.83,2.7,0.1,0.05,0.13,0,0,0.125,180,250,6
A 5454 P,3,0.2,0.75,0.13,95.83,2.7,0.1,0.05,0.13,0,0,0.125,200,270,5
A 5652 P,1,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,65,175,12
A 5652 P,1,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,155,265,5
A 5652 P,1,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,175,235,4
A 5652 P,1,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,205,305,4
A 5652 P,1,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,225,275,4
A 5652 P,2,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,155,215,5
A 5652 P,2,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,180,235,4
A 5652 P,2,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,205,305,4
A 5652 P,3,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,155,215,5
A 5652 P,3,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,180,235,4
A 5652 P,3,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,205,305,4
A 5652 P,3,0.2,0.01,0.2,96.78,2.5,0,0.02,0.25,0,0,0.05,220,270,4
A 5754 P,1,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0,0,0.1,90,190,10
A 5754 P,1,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0,0,0.1,140,215,5
A 5754 P,1,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0,0,0.1,180,250,4
A 5754 P,1,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0,0,0.1,240,280,2
A 5754 P,2,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0,0,0.1,160,240,6
A 5754 P,3,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0,0,0.1,160,240,5
A 5754 P,3,0.2,0.25,0.2,95.88,3.1,0.08,0.05,0.15,0,0,0.1,230,290,3
A 5N01 P,1,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0,0,0.015,95,110,3
A 5N01 P,1,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0,0,0.015,115,125,3
A 5N01 P,1,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0,0,0.015,135,145,2
A 5N01 P,3,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0,0,0.015,85,120,4
A 5N01 P,3,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0,0,0.015,105,140,3
A 5N01 P,3,0.13,0.1,0.08,99.19,0.4,0,0.1,0,0,0,0.015,125,160,2
A 6005A BE,1,0.18,0.25,0.7,97.88,0.55,0.05,0.15,0.15,0,0,0.1,100,170,15
A 6005A BE,4,0.18,0.25,0.7,97.88,0.55,0.05,0.15,0.15,0,0,0.1,90,180,15
A 6005A BE,5,0.18,0.25,0.7,97.88,0.55,0.05,0.15,0.15,0,0,0.1,215,260,9
A 6005A BE,6,0.18,0.25,0.7,97.88,0.55,0.05,0.15,0.15,0,0,0.1,225,270,8
A 6005C BE,1,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,107,176,16
A 6005C BE,5,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,175,225,8
A 6005C BE,6,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,235,265,8
A 6060 BE,4,0.2,0.05,0.45,98.63,0.48,0.05,0.05,0.03,0,0,0.08,60,120,14
A 6060 BE,5,0.2,0.05,0.45,98.63,0.48,0.05,0.05,0.03,0,0,0.08,120,160,6
A 6060 BE,6,0.2,0.05,0.45,98.63,0.48,0.05,0.05,0.03,0,0,0.08,150,190,8
A 6061 BD,4,0.35,0.08,0.6,97.31,1,0.08,0.28,0.2,0,0,0.13,110,205,18
A 6061 BD,6,0.35,0.08,0.6,97.31,1,0.08,0.28,0.2,0,0,0.13,240,290,10
A 6061 P,4,0.35,0.08,0.6,97.31,1,0.08,0.28,0.2,0,0,0.13,110,205,16
A 6061 P,6,0.35,0.08,0.6,97.31,1,0.08,0.28,0.2,0,0,0.13,245,295,10
A 6063 BD,1,0.18,0.05,0.4,98.5,0.68,0.05,0.05,0.05,0,0,0.05,62,117,12
A 6063 BD,4,0.18,0.05,0.4,98.5,0.68,0.05,0.05,0.05,0,0,0.05,69,131,14
A 6063 BD,5,0.18,0.05,0.4,98.5,0.68,0.05,0.05,0.05,0,0,0.05,110,152,8
A 6063 BD,6,0.18,0.05,0.4,98.5,0.68,0.05,0.05,0.05,0,0,0.05,172,207,8
A 6082 P,4,0.25,0.7,1,96.83,0.9,0.05,0.05,0.13,0,0,0.1,110,205,12
A 6082 P,6,0.25,0.7,1,96.83,0.9,0.05,0.05,0.13,0,0,0.1,260,310,6
A 6101 P,6,0.25,0.02,0.5,98.52,0.58,0,0.05,0.02,0,0,0.05,145,175,14
A 6101 P,7,0.25,0.02,0.5,98.52,0.58,0,0.05,0.02,0,0,0.05,110,135,10
A 6151 FH,6,0.5,0.1,0.9,97.25,0.63,0.08,0.18,0.25,0,0,0.13,225,295,10
A 6181 BD,4,0.23,0.08,1,97.65,0.8,0.05,0.05,0.05,0,0,0.1,100,200,15
A 6181 BD,6,0.23,0.08,1,97.65,0.8,0.05,0.05,0.05,0,0,0.1,240,280,8
A 6262 BD,6,0.35,0.08,0.6,96.16,1,0.08,0.43,0.09,0,0,0.13,276,310,17
A 6262 BD,8,0.35,0.08,0.6,96.16,1,0.08,0.43,0.09,0,0,0.13,338,352,15
A 6262 BD,9,0.35,0.08,0.6,96.16,1,0.08,0.43,0.09,0,0,0.13,379,400,10
A 6463 S,1,0.18,0.05,0.4,98.6,0.68,0,0.05,0,0,0,0.05,60,115,12
A 6463 S,4,0.18,0.05,0.4,98.6,0.68,0,0.05,0,0,0,0.05,75,125,12
A 6463 S,5,0.18,0.05,0.4,98.6,0.68,0,0.05,0,0,0,0.05,110,150,6
A 6463 S,6,0.18,0.05,0.4,98.6,0.68,0,0.05,0,0,0,0.05,160,195,8
A 6N01 BE,5,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,175,225,8
A 6N01 BE,6,0.18,0.25,0.65,97.83,0.6,0.05,0.18,0.15,0,0,0.13,235,265,8
A 7072 B,6,0.35,0.05,0.35,98.1,0.05,0,0.05,0,0,0,1.05,410,480,7
A 7003 BE,5,0.18,0.15,0.15,92.58,0.75,0.1,0.1,0.1,0,0.15,5.75,245,285,10
A 7003 BE,6,0.18,0.15,0.15,92.58,0.75,0.1,0.1,0.1,0,0.15,5.75,290,350,8
A 7005 S,5,0.2,0.45,0.18,92.92,1.4,0.04,0.05,0.13,0,0.14,4.5,305,345,10
A 7005 S,6,0.2,0.45,0.18,92.92,1.4,0.04,0.05,0.13,0,0.14,4.5,290,350,8
A 7010 P,6,0.08,0.05,0.06,89.33,2.35,0.03,1.75,0.03,0,0.13,6.2,520,570,6
A 7010 P,7,0.08,0.05,0.06,89.33,2.35,0.03,1.75,0.03,0,0.13,6.2,380,470,7
A 7020 BE,4,0.2,0.28,0.18,93.02,1.2,0.17,0.1,0.23,0,0.14,4.5,210,320,8
A 7020 BE,6,0.2,0.28,0.18,93.02,1.2,0.17,0.1,0.23,0,0.14,4.5,275,340,10
A 7049A BE,6,0.25,0.25,0.2,87.05,2.6,0.03,1.55,0.15,0,0.13,7.8,430,520,5
A 7049A BE,7,0.25,0.25,0.2,87.05,2.6,0.03,1.55,0.15,0,0.13,7.8,425,495,7
A 7050 P,7,0.08,0.05,0.06,88.9,2.25,0.03,2.3,0.02,0,0.12,6.2,405,485,6
A 7075 P,6,0.25,0.15,0.2,89.25,2.5,0.1,1.6,0.23,0,0.13,5.6,470,540,7
A 7075 P,7,0.25,0.15,0.2,89.25,2.5,0.1,1.6,0.23,0,0.13,5.6,385,460,8
A 7178 P,6,0.25,0.15,0.2,87.52,2.75,0.1,2,0.23,0,0,6.8,505,580,8
A 7178 P,7,0.25,0.15,0.2,87.52,2.75,0.1,2,0.23,0,0,6.8,427,503,8
A 7204 P,4,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,195,315,11
A 7204 P,5,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,245,325,10
A 7204 P,6,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,275,335,10
A 7475 P,6,0.06,0.03,0.05,90.12,2.25,0.03,1.55,0.22,0,0,5.7,440,515,9
A 7475 P,7,0.06,0.03,0.05,90.12,2.25,0.03,1.55,0.22,0,0,5.7,410,490,9
A 7N01 P,4,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,195,315,11
A 7N01 P,5,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,245,325,10
A 7N01 P,6,0.18,0.45,0.15,91.7,1.5,0.1,0.1,1.15,0.05,0.13,4.5,275,335,10